year,Offense,Incidents
2019,Murder,201
2019,Manslaughter ,17
2019,Rape ,2879
2019,Sodomy ,331
2019,Sexual Assault w/Object,93
2019,Fondling ,2915
2019,Aggravated Assault ,14033
2019,Simple Assault,50242
2019,Intimidation,13021
2019,Kidnapping,1363
2019,Incest,66
2019,Statutory Rape ,208
2019,Human Trafficking Offenses,56
2019,Viol No Contact/Protect Order ,16909
2019,Crimes Against Personals Total ,102334
2019,Robbery ,5235
2019,Burglary/Breaking & Entering ,35526
2019,larceny/Theft Offenses ,151794
2019,Motor Vehicle Theft ,24427
2019,Arson ,935
2019,Destruction of Property ,61421
2019,Counterfeit/Forgery ,5878
2019,Fraud Offenses,24919
2019,Embezzlement,327
2019,Extortion/Blackmail ,525
2019,Bribery ,15
2019,Stolen Property Offenses ,5948
2019,Crimes Against Property Total ,316950
2019,Animal Cruelty ,195
2019,Drub/Narcotic Violations,20578
2019,Drug Equipment Violations ,10054
2019,Gambling Offenses,37
2019,Pornography/Obscene Material,729
2019,Prostitution Offensee,638
2019,Weapon Law Violations ,5650
2019,Crimes Against Society Total,37881
2020,Murder,302
2020,Manslaughter ,34
2020,Rape ,2376
2020,Sodomy ,270
2020,Sexual Assault w/Object,84
2020,Fondling ,2436
2020,Aggravated Assault ,15010
2020,Simple Assault,46512
2020,Intimidation,12848
2020,Kidnapping,1377
2020,Incest,61
2020,Statutory Rape ,205
2020,Human Trafficking Offenses,85
2020,Viol No Contact/Protect Order ,18002
2020,Crimes Against Personals Total ,99602
2020,Robbery ,5261
2020,Burglary/Breaking & Entering ,41638
2020,larceny/Theft Offenses ,152092
2020,Motor Vehicle Theft ,27786
2020,Arson ,1349
2020,Destruction of Property ,69006
2020,Counterfeit/Forgery ,4568
2020,Fraud Offenses,59134
2020,Embezzlement,214
2020,Extortion/Blackmail ,681
2020,Bribery ,17
2020,Stolen Property Offenses ,6209
2020,Crimes Against Property Total ,367955
2020,Animal Cruelty ,214
2020,Drub/Narcotic Violations,15917
2020,Drug Equipment Violations ,8941
2020,Gambling Offenses,19
2020,Pornography/Obscene Material,771
2020,Prostitution Offensee,425
2020,Weapon Law Violations ,5811
2020,Crimes Against Society Total,32098
